No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur,pca1,pca2,dbscanonly_kluster,PeningkatanDBSCAN_3klaster,skor_akreditasi_n,siswa_total_n,jumlah_ruangan_n,wilayah_total_n,daya_listrik_n,jumlah_guru_n,staf_total_n,skor_rekomendasi,peringkat
4164,UPT SD NEGERI 266 PINRANG,SD,Negeri,91,7,2,7,900,4822,70,-3.60789,119.525224,-1.066204887,-0.093803438,2,0,1,0.057196732,0.920454545,0.994890951,0.997164461,0.944,0.9375,93.47987329,73
7673,SMPS HAQQUL YAQIN,SMP,Swasta,105,11,1,8,900,4127,70,-3.563981,119.769247,-0.92815183,-0.114960376,2,0,1,0.065996229,0.909090909,0.995632708,0.997164461,0.912,0.96875,93.46414008,74
3077,SD NEGERI 307 BEUMA,SD,Negeri,117,6,5,7,900,2482,70,-3.367324,120.335323,-0.569041773,-0.239325222,2,0,1,0.073538655,0.920454545,0.997388376,0.997164461,0.952,0.84375,93.43892571,75
2890,SD NEGERI 493 BOSSO,SD,Negeri,68,9,1,6,3500,2372,70,-2.568021,120.26996,-1.316904397,-0.338147776,2,0,1,0.042740415,0.931818182,0.997505777,0.987712665,0.928,0.96875,93.36337729,76
8614,SMAN 2 PANGKAJENE DAN KEPULAUAN,SMA,Negeri,708,45,19,29,3500,4697,70,-4.834201,119.575794,6.681557807,-1.944465838,2,0,1,0.445003143,0.670454545,0.995024361,0.987712665,0.64,0.40625,93.36084991,77
7165,SMP IT YADI PADARIA,SMP,Swasta,4,3,1,3,900,3128,70,-5.010514,119.576998,-1.939428134,0.105849715,2,0,1,0.002514142,0.965909091,0.996698916,0.997164461,0.976,0.96875,93.35991796,78
5370,UPT SDN 18 MENGKENDEK,SD,Negeri,233,18,3,14,1300,4524,70,-3.059982,119.836833,0.5033328,-0.440938221,2,0,1,0.146448774,0.840909091,0.995208999,0.995710339,0.856,0.90625,93.34819034,79
7129,SMP NEGERI 2 BALOCCI,SMP,Negeri,219,20,4,12,900,4675,70,-4.83329,119.586127,0.562183978,-0.484009051,2,0,1,0.137649277,0.863636364,0.995047841,0.997164461,0.84,0.875,93.34406433,80
2321,SD INPRES BONTOMANAI,SD,Negeri,64,7,0,7,900,3685,70,-5.273812,120.092088,-1.453944407,0.016941436,2,0,1,0.040226273,0.920454545,0.996104444,0.997164461,0.944,1,93.34088572,81
2330,SD INPRES PARANGBOBBO,SD,Negeri,133,6,0,6,900,3436,71,-5.216099,119.570672,-1.377544994,0.005871148,2,0,0.956521739,0.083595223,0.931818182,0.996370195,0.997164461,0.952,1,93.3323084,82
919,SD NEGERI 92 ULOE,SD,Negeri,100,7,3,7,5500,1827,70,-4.549881,120.219288,-0.842108485,-0.053538639,2,0,1,0.062853551,0.920454545,0.998087442,0.980442053,0.944,0.90625,93.33135206,83
4222,UPT SD NEGERI 284 PINRANG,SD,Negeri,103,5,4,7,2200,3775,70,-3.196316,120.259177,-0.797672694,-0.14265044,2,0,1,0.064739158,0.920454545,0.996008389,0.992438563,0.96,0.875,93.32677051,84
4212,UPT SD INPRES MAKURING,SD,Negeri,79,8,1,7,5500,1471,70,-3.249556,119.882588,-1.168972723,0.037228623,2,0,1,0.049654305,0.920454545,0.998467392,0.980442053,0.936,0.96875,93.27248821,85
4162,UPT SD NEGERI 262 PINRANG,SD,Negeri,84,7,2,7,2200,3635,70,-3.470379,119.532812,-1.07316848,-0.06409888,2,0,1,0.052796983,0.920454545,0.996157807,0.992438563,0.944,0.9375,93.23520032,86
998,SD INPRES 12/79 LAPPABOSSE,SD,Negeri,190,9,3,7,5500,2658,71,-4.554723,120.215584,-0.496208683,-0.121117153,2,0,0.956521739,0.119421747,0.920454545,0.997200536,0.980442053,0.928,0.90625,93.21204548,87
2833,SD NEGERI 428 MENTANG,SD,Negeri,80,6,2,7,1300,4740,70,-3.446202,120.019022,-1.137205771,-0.064232887,2,0,1,0.050282841,0.920454545,0.994978468,0.995710339,0.952,0.9375,93.19412632,88
4623,SD Neg No 103 Bontompare,SD,Negeri,354,21,3,16,3500,2687,71,-5.128115,120.246812,1.146827799,-0.526307557,2,0,0.956521739,0.222501571,0.818181818,0.997169585,0.987712665,0.832,0.90625,93.17451525,89
1633,SD NEGERI 21 SEPPANG,SD,Negeri,166,9,4,11,900,3777,70,-5.427273,120.492863,-0.15857358,-0.308237635,2,0,1,0.104336895,0.875,0.996006254,0.997164461,0.928,0.875,93.12276433,90
4652,SD TAFIDZUL QURAN DARUL ISTIQAMAH,SD,Swasta,167,7,2,7,1300,4247,71,-5.132647,120.251895,-0.845578463,-0.120436359,2,0,0.956521739,0.104965431,0.920454545,0.995504635,0.995710339,0.944,0.9375,93.11232245,91
6665,SMP Kristen  Sadan,SMP,Swasta,157,9,3,11,2200,4266,70,-2.968914,119.891287,-0.329044389,-0.231590706,2,0,1,0.098680075,0.875,0.995484356,0.992438563,0.928,0.90625,93.11181354,92
5520,UPT SDN 2 MAPPAK,SD,Negeri,81,7,2,7,5500,724,70,-3.071449,119.832106,-1.052161498,-0.001606137,2,0,1,0.050911376,0.920454545,0.999264647,0.980442053,0.944,0.9375,93.0984425,93
9006,SMKS KRISTEN PADANG SAPPA,SMK,Swasta,154,12,1,12,900,2379,70,-2.597514,120.32534,-0.525530528,-0.563958516,2,0,1,0.096794469,0.863636364,0.997498306,0.997164461,0.904,0.96875,93.07764847,94
1595,SD NEGERI 96 GALUNG BODDONG,SD,Negeri,19,4,3,3,2200,760,70,-5.570098,120.489223,-1.526205711,0.015638523,2,0,1,0.011942175,0.965909091,0.999226225,0.992438563,0.968,0.90625,93.07682694,95
7467,SMP AL AMANAH JENEPONTO,SMP,Swasta,45,7,2,5,1300,1960,70,-5.664126,119.725963,-1.335761095,-0.034090515,2,0,1,0.028284098,0.943181818,0.997945494,0.995710339,0.944,0.9375,93.02821734,96
591,SD INPRES KAMPUNG BERU,SD,Negeri,166,15,0,13,3500,934,70,-5.515134,119.963328,-0.343550175,-0.175960632,2,0,1,0.104336895,0.852272727,0.999040519,0.987712665,0.88,1,93.00487498,97
6805,UPT SMPN SATAP 3 SANGALLA SELATAN,SMP,Negeri,27,7,0,5,3500,4044,70,-3.067342,119.826729,-1.678547901,0.119925142,2,0,1,0.016970459,0.943181818,0.995721292,0.987712665,0.944,1,92.98516982,98
3512,UPTD SDN 156 INPRES TAMALALLANG,SD,Negeri,155,7,1,7,5500,3626,71,-5.010574,119.581867,-0.997537236,0.016388577,2,0,0.956521739,0.097423004,0.920454545,0.996167413,0.980442053,0.944,0.96875,92.91974129,99
3778,SD NEGERI 35 TONASA II,SD,Negeri,70,7,2,7,900,1097,70,-5.338161,119.439675,-1.12411937,-0.089692949,2,0,1,0.043997486,0.920454545,0.998866553,0.997164461,0.944,0.9375,92.91341846,100
648,UPTD SD NEGERI 3 BARRU,SD,Negeri,93,10,3,7,2200,3491,70,-4.40303,119.638214,-0.754043138,-0.153013179,2,0,1,0.058453803,0.920454545,0.996311495,0.992438563,0.92,0.90625,92.90620991,101
1112,SD NEGERI 50 JALING,SD,Negeri,64,7,1,7,5500,588,70,-4.524344,120.270314,-1.255265477,0.056751402,2,0,1,0.040226273,0.920454545,0.999409797,0.980442053,0.944,0.96875,92.89857981,102
3727,UPTD SDN 76 ULUDAYA,SD,Negeri,65,5,2,7,2200,956,70,-5.000542,119.584317,-1.217301794,-0.036864698,0,0,1,0.040854808,0.920454545,0.999017039,0.992438563,0.96,0.9375,92.88187859,103
5380,UPT SDN 4 MENGKENDEK,SD,Negeri,111,10,2,9,2200,4286,70,-3.066565,119.838507,-0.713584518,-0.141065389,2,0,1,0.069767442,0.897727273,0.995463011,0.992438563,0.92,0.9375,92.84398762,104
719,UPTD SD NEGERI 88 BARRU,SD,Negeri,85,8,3,7,1300,4206,70,-4.415861,119.635594,-0.874627206,-0.139176057,2,0,1,0.053425519,0.920454545,0.995548393,0.995710339,0.936,0.90625,92.83772312,105
4973,SD NEGERI 120 BERRU,SD,Negeri,61,8,1,7,900,2848,70,-4.352115,119.917037,-1.259107777,-0.043509075,2,0,1,0.038340666,0.920454545,0.996997753,0.997164461,0.936,0.96875,92.82198104,106
5007,SD NEGERI 276 LATAPPERE,SD,Negeri,88,6,4,7,1300,3075,70,-4.35632,119.906108,-0.801603975,-0.169754476,2,0,1,0.055311125,0.920454545,0.996755482,0.995710339,0.952,0.875,92.80120805,107
7582,SMP ISLAM TANWIRUS SUNNAH,SMP,Swasta,177,7,1,9,5500,1688,71,-5.277041,119.736202,-0.790486071,-0.030522519,2,0,0.956521739,0.111250786,0.897727273,0.998235793,0.980442053,0.944,0.96875,92.72594107,108
848,SD NEGERI 39 PAPPOLO,SD,Negeri,77,7,3,7,2200,2168,70,-4.555465,120.213235,-0.934439468,-0.108388556,2,0,1,0.048397234,0.920454545,0.997723501,0.992438563,0.944,0.90625,92.69707623,109
