No,Nama Sekolah,BP,Status,siswa_total,jumlah_guru,staf_total,jumlah_ruangan,daya_listrik,wilayah_total,skor_akreditasi,Lintang,Bujur
255,UPT SPF SD INPRES KASSI KASSI,SD,Negeri,298,18,5,11,3299,1945,91,5139528,119426548
256,UPT SPF SD INPRES KASSI KASSI 1,SD,Negeri,276,18,2,6,2300,1947,77,5144062,119435825
257,UPT SPF SD INPRES KELAPA TIGA I,SD,Negeri,264,17,7,7,1300,1540,85,5145233,119435915
258,UPT SPF SD INPRES MANGASA I,SD,Negeri,291,18,3,7,1300,1760,84,5146008,119437312
259,UPT SPF SD INPRES MINASA UPA,SD,Negeri,422,24,4,10,2200,2250,85,5150368,119437217
260,UPT SPF SD INPRES MINASA UPA 1,SD,Negeri,240,16,4,6,7700,2250,83,5142585,119428391
261,UPT SPF SD INPRES PERUMNAS I,SD,Negeri,232,16,7,8,2200,3120,92,5141248,119438925
262,UPT SPF SD INPRES PERUMNAS II,SD,Negeri,109,10,3,5,1300,625,84,515563,119430805
263,UPT SPF SD INPRES PERUMNAS IV,SD,Negeri,115,9,4,4,1300,837,85,5149713,119429619
264,UPT SPF SD INPRES TIDUNG II,SD,Negeri,290,19,5,14,1300,2120,85,513855,119424763
265,UPT SPF SD INPRES UNGGULAN BTN PEMDA,SD,Negeri,598,33,5,17,13200,3015,92,5143773,119442368
266,UPT SPF SD NEGERI AROEPPALA,SD,Negeri,329,20,5,9,2200,2100,88,5148745,11943589
267,UPT SPF SD NEGERI GUNUNG SARI I,SD,Negeri,294,17,4,13,2300,2262,84,51436,119433304
268,UPT SPF SD NEGERI GUNUNG SARI II,SD,Negeri,128,10,2,8,1300,5000,76,5149078,119437974
269,UPT SPF SD NEGERI KOMPLEKS IKIP,SD,Negeri,445,22,6,10,3298,1328,90,5144184,119423273
270,UPT SPF SD NEGERI KOMPLEKS IKIP I,SD,Negeri,419,22,5,8,7700,1562,91,5147453,119431406
271,UPT SPF SD NEGERI MANGASA,SD,Negeri,263,17,7,7,1300,2050,84,5145822,119440358
272,UPT SPF SD NEGERI MINASA UPA,SD,Negeri,578,26,7,13,2200,2200,92,5153376,119434477
273,UPT SPF SD NEGERI RAPPOCINI,SD,Negeri,492,25,7,9,1300,1800,83,514665,119424816
274,UPT SPF SD NEGERI TIDUNG,SD,Negeri,503,27,8,20,1300,2648,84,5154475,119439765
275,SD ANAK BANGSA,SD,Swasta,0,3,0,0,1342,250,70,5141712,119423972
276,SD BERB TRI BHAKTI KARSA,SD,Swasta,12,2,0,7,2200,3500,85,5145944,119441727
277,SD ISLAM ALAZHAR 34 MAKASSAR,SD,Swasta,579,58,3,30,10000,3200,91,513782,119442479
278,SD ISLAM ARRAAFI,SD,Swasta,0,29,2,0,1452,300,90,5156137,119424063
279,SD KATOLIK SANTO ALOYSIUS,SD,Swasta,408,16,6,16,6600,1890,90,5157645,119424299
280,SD MUHAMMADIYAH PERUMNAS,SD,Swasta,108,9,1,7,1300,480,84,5157449,119429667
281,SD PERTIWI MAKASSAR,SD,Swasta,0,30,6,0,2095,8568,91,5153439,119426983
282,SD TELKOM MAKASSAR,SD,Swasta,739,44,5,25,66000,2924,92,5145024,119432361
283,SD UNISMUH MAKASSAR,SD,Swasta,171,14,2,11,2978,1050,90,5138577,119437453
284,SDIT AL BIRUNI MANDIRI JIPANG,SD,Swasta,199,16,1,12,1299,886,91,5154655,119422993
285,UPT SPF SD INPRES BARAYA 1,SD,Negeri,524,25,6,13,1250,1000,91,5124941,119427822
286,UPT SPF SD INPRES BARAYA 2,SD,Negeri,287,16,5,14,5630,74750,85,5122,1194242
287,UPT SPF SD INPRES BERTINGKAT KALUKU BODOA,SD,Negeri,360,15,3,7,2010,1020,84,51153,1194348
288,UPT SPF SD INPRES BUTTATIANANG II,SD,Negeri,400,26,3,12,3690,2400,85,51285,1194342
289,UPT SPF SD INPRES CAMBAYA 1,SD,Negeri,288,16,3,6,2300,1100,85,51136,1194268
290,UPT SPF SD INPRES CAMBAYA 2 TALLO,SD,Negeri,188,12,2,7,2100,2500,84,51131,1194292
291,UPT SPF SD INPRES CAMBAYA III,SD,Negeri,212,13,3,9,2300,2400,85,51135,1194293
292,UPT SPF SD INPRES CAMBAYA IV,SD,Negeri,153,9,4,10,6200,4900,87,51162,11943
293,UPT SPF SD INPRES GALANGAN KAPAL I,SD,Negeri,309,16,2,8,2300,1900,83,5113,1194333
294,UPT SPF SD INPRES GALANGAN KAPAL II,SD,Negeri,0,18,3,0,1500,380,82,51131,1194333
295,UPT SPF SD INPRES GALANGAN KAPAL III,SD,Negeri,179,13,4,7,2000,1600,86,51131,1194336
296,UPT SPF SD INPRES GALANGAN KAPAL IV,SD,Negeri,317,17,2,7,1000,252,84,51132,1194334
297,UPT SPF SD INPRES LAYANG III,SD,Negeri,359,21,2,7,2450,1624,88,51241,119424
298,UPT SPF SD INPRES MALIMONGAN BARU,SD,Negeri,109,9,8,7,2670,1190,85,51186219,1194258006
299,UPT SPF SD INPRES PANNAMPU 1,SD,Negeri,296,16,0,8,2100,1300,85,51187,1194257
300,UPT SPF SD INPRES PANNAMPU 2,SD,Negeri,354,15,1,7,2500,170,77,51142,1194255
301,UPT SPF SD INPRES PANNAMPU 3,SD,Negeri,239,20,7,9,2000,1500,87,51142,1194255
302,UPT SPF SD INPRES RAPPO JAWA,SD,Negeri,267,17,4,7,2500,684,84,5124,1194364
303,UPT SPF SD INPRES RAPPOKALLING 1,SD,Negeri,364,17,6,8,17890,438244,85,5125,1194407
304,UPT SPF SD INPRES RAPPOKALLING 2,SD,Negeri,443,18,2,8,2200,504,85,51251,1194409
305,UPT SPF SD INPRES TALLO TUA 1,SD,Negeri,432,18,4,7,43891,937000,87,5106,119438
306,UPT SPF SD INPRES TALLO TUA 2,SD,Negeri,413,16,5,8,67000,250000,88,51058,1194384
307,UPT SPF SD INPRES UJUNG PANDANG BARU 1,SD,Negeri,519,24,6,14,25000,11250,85,51213,1194399
308,UPT SPF SD NEGERI 67 RAPPOKALLING,SD,Negeri,381,17,1,7,2200,1344,86,51249,1194409
309,UPT SPF SD NEGERI BEROANGING,SD,Negeri,477,24,4,15,2500,1820,85,51181,1194255
310,UPT SPF SD NEGERI KALUKU BODOA,SD,Negeri,381,18,3,11,2300,1020,86,51151,1194348
311,UPT SPF SD NEGERI KALUKUANG 1,SD,Negeri,318,18,3,7,2100,1577,85,51258,119431
312,UPT SPF SD NEGERI KALUKUANG II,SD,Negeri,317,17,2,5,1572,2100,85,51257,119431
313,UPT SPF SD NEGERI KALUKUANG III,SD,Negeri,330,17,4,6,2000,1572,85,51257,119431
314,UPT SPF SD NEGERI KALUKUANG IV,SD,Negeri,241,16,2,13,2300,1572,86,51258,1194311
315,UPT SPF SD NEGERI LAKKANG,SD,Negeri,144,10,7,7,3100,2405,87,51228,1194662
316,UPT SPF SD NEGERI RAPPOJAWA NO 71,SD,Negeri,422,19,5,8,2100,990,86,51243,1194362
317,UPT SPF SD NEGERI RAPPOKALLING 671,SD,Negeri,417,19,4,13,7650,1344,85,51251,1194408
318,UPT SPF SD NEGERI TALLO TUA 69,SD,Negeri,477,23,4,10,5250,2100,85,51059,1194384
319,SD ISLAM COKROAMINOTO 1,SD,Swasta,70,5,0,12,1300,840,77,51296,1194306
320,SD ISLAM COKROAMINOTO 2,SD,Swasta,300,5,1,8,1200,270,85,51284,1194422
321,SD ISLAM DATUK RIBANDANG,SD,Swasta,266,8,0,7,8000,7500,84,51164,1194364
322,SD ISLAM HASYIM ASY ARI,SD,Swasta,24,2,0,7,1200,300,76,51235,1194372
323,SD IT MA ARIF MAKASSAR,SD,Swasta,278,14,2,13,2500,721,83,51187,1194508
324,SD IT RAFFASYAH BAITUL MAKMUR,SD,Swasta,74,13,1,9,1100,528,84,51199,119435
325,SD MUHAMMADIYAH 10 TALLO,SD,Swasta,130,8,1,7,3750,2775,85,51244,1194343
326,SDIT IKHTIAR,SD,Swasta,0,16,3,0,2000,1230,91,51218,1194289
327,SDS ISLAM TERPADU IBNU SINA,SD,Swasta,191,12,4,14,1200,380,91,51341,1194299
328,UPT SPF SD INPRES BIRA 1,SD,Negeri,279,15,3,7,1300,1185,83,5153325,119423928
329,UPT SPF SD INPRES BIRA 2,SD,Negeri,246,14,2,10,1300,1185,83,5146424,119431717
330,UPT SPF SD INPRES BONTOJAI,SD,Negeri,363,18,4,11,900,5035,84,514417,119436172
331,UPT SPF SD INPRES BUNG,SD,Negeri,391,17,2,15,3500,18892,82,5152806,119431011
332,UPT SPF SD INPRES KAMPUS UNHAS,SD,Negeri,272,15,4,7,1300,2784,85,5139823,119424794
333,UPT SPF SD INPRES KAMPUS UNHAS 1,SD,Negeri,350,18,6,9,2200,1500,84,5153336,119435516
334,UPT SPF SD INPRES KANTISANG,SD,Negeri,372,16,3,9,2193,1500,91,5154738,119437147
335,UPT SPF SD INPRES KAPASA,SD,Negeri,393,22,4,15,1300,2542,85,5156534,119426754
336,UPT SPF SD INPRES KERAKERA,SD,Negeri,156,8,5,7,1300,1578,84,5155944,119423094
337,UPT SPF SD INPRES LANRAKI 1,SD,Negeri,331,19,6,7,2156,4281,91,5137704,119424903
338,UPT SPF SD INPRES LANRAKI 2,SD,Negeri,319,19,1,9,3500,2185,90,5146052,119434715
339,UPT SPF SD INPRES LANTEBUNG,SD,Negeri,271,12,6,7,900,2418,82,5141886,119433656
340,UPT SPF SD INPRES TAMALANREA 1,SD,Negeri,308,16,3,8,5500,2351,90,5145978,119431318
341,UPT SPF SD INPRES TAMALANREA 2,SD,Negeri,446,21,5,18,2200,3350,91,5156371,119423088
342,UPT SPF SD INPRES TAMALANREA 3,SD,Negeri,146,11,5,8,1300,234,82,5145001,119424658
343,UPT SPF SD INPRES TAMALANREA 4,SD,Negeri,308,20,2,11,2200,2350,84,5152837,119441656
344,UPT SPF SD INPRES TAMALANREA 5,SD,Negeri,203,16,3,13,1580,2484,90,5156432,119435482
345,UPT SPF SD INPRES TAMALANREA 6,SD,Negeri,168,10,3,8,1300,1919,86,5150788,11943868
346,UPT SPF SD NEGERI BONTOA,SD,Negeri,218,13,3,6,1200,1195,89,5142185,119436354
347,UPT SPF SD NEGERI BONTOJAI,SD,Negeri,313,16,6,8,1300,1549,85,5148941,11943149
348,UPT SPF SD NEGERI BONTORAMBA,SD,Negeri,383,20,6,11,2200,1625,83,5145572,119430012
349,UPT SPF SD NEGERI BONTORAMBA 1,SD,Negeri,99,9,3,6,2200,1074,82,5143222,119432593
350,UPT SPF SD NEGERI KAPASA,SD,Negeri,445,25,6,11,1300,2389,91,5156181,119423326
351,UPT SPF SD NEGERI PAGANDONGAN,SD,Negeri,421,16,3,13,2200,1269,85,5138539,119434587
352,UPT SPF SD NEGERI TAMALANREA,SD,Negeri,352,19,11,12,5200,1800,83,5146931,119426685
353,SD CIPUTRA KASIH,SD,Swasta,68,3,0,9,14700,15000,86,5153241,119423339
354,SD FRATER BAKTI LUHUR,SD,Swasta,836,38,13,25,22000,3168,91,5143162,1194312
355,SD INTEGRAL AL BAYAN,SD,Swasta,409,24,3,19,6000,2750,90,5141911,119438554
356,SD ISLAM PERTIWI NUSANTARA,SD,Swasta,116,6,2,7,1300,12000,77,5151137,119435444
357,SD ISLAM TERPADU (SDIT) AR RAHMAH,SD,Swasta,644,41,5,27,5300,1378,91,5152057,11942942
358,SD ISLAM TERPADU AL FIKRI MAKASSAR,SD,Swasta,0,27,2,0,1200,1500,90,5153069,119424284
359,SD ISLAM TERPADU DARURRAHMAN,SD,Swasta,73,6,1,2,5500,735,80,5153978,119428584
360,SD IT AL  KAUTSAR MAKASSAR,SD,Swasta,210,20,1,12,4400,1212,82,515262,119441606
361,SD IT AL HUDA MAKASSAR,SD,Swasta,115,8,1,7,6500,1755,83,5157632,119432788
362,SD IT AL IZZAH MAKASSAR,SD,Swasta,0,6,0,0,1500,360,75,5137719,119439397
363,SD IT TAKWA CENDEKIA,SD,Swasta,121,10,3,7,1300,450,90,5137884,119424579
364,SD KRISTEN ELIM MAKASSAR,SD,Swasta,593,31,1,24,23000,3500,91,515632,11942794
365,SD WAHDAH ISLAMIC SCHOOL 03 MAKASSAR,SD,Swasta,143,21,7,10,7700,792,91,5140594,119436127
366,SD BRIGHT STAR PRIMARY SCHOOL,SD,Swasta,112,10,4,8,2200,288,82,5151734,119442557
367,SDS ISLAM TERPADU MUTIARA,SD,Swasta,496,18,3,22,5000,1000,81,5137681,119423195
368,UPT SPF SD  INPRES MALENGKERI BERTINGKAT,SD,Negeri,406,21,7,11,4400,1350,92,5153019,119423492
369,UPT SPF SD INPRES ANDI TONRO,SD,Negeri,303,15,6,8,1350,1360,84,5147766,119437232
370,UPT SPF SD INPRES BALANG BODDONG,SD,Negeri,111,8,3,5,900,35,83,5142514,119441504
371,UPT SPF SD INPRES BAROMBONG 2,SD,Negeri,301,16,1,10,900,2625,85,5138587,119430198
372,UPT SPF SD INPRES BAROMBONG 3,SD,Negeri,292,16,4,7,900,1852,83,5142311,119429785
373,UPT SPF SD INPRES BONTOA,SD,Negeri,513,25,4,20,1300,3075,86,5146842,119435675
374,UPT SPF SD INPRES BONTOMANAI,SD,Negeri,363,20,6,8,1300,1576,82,5154738,119434992
375,UPT SPF SD INPRES GONTANG,SD,Negeri,368,16,2,7,1300,1562,91,5142645,119430488
376,UPT SPF SD INPRES HARTACO INDAH,SD,Negeri,626,29,5,16,4398,1232,93,5137733,119437156
377,UPT SPF SD INPRES JONGAYA,SD,Negeri,350,20,4,9,1300,1360,86,5155962,119437962
378,UPT SPF SD INPRES JONGAYA 1,SD,Negeri,350,19,5,11,2200,570,83,513923,119433698
379,UPT SPF SD INPRES MACCINI BARU,SD,Negeri,398,25,5,10,1250,1692,94,5142496,119422895
380,UPT SPF SD INPRES MACCINI SOMBALA,SD,Negeri,432,19,4,7,35000,2160,87,5146668,119435862
381,UPT SPF SD INPRES MACCINI SOMBALA 1,SD,Negeri,364,18,1,7,5197,2160,88,5143606,11942655
382,UPT SPF SD INPRES MALENGKERI 1,SD,Negeri,288,18,5,7,2200,390,82,5140995,11942599
383,UPT SPF SD INPRES MALENGKERI BERTINGKAT I,SD,Negeri,336,16,3,6,2200,1500,86,514944,119440174
384,UPT SPF SD INPRES MALLENGKERI 2,SD,Negeri,319,19,3,8,900,700,82,5138035,119428891
385,UPT SPF SD INPRES PA BAENGBAENG,SD,Negeri,312,15,4,9,1300,2640,84,5156854,119436907
386,UPT SPF SD INPRES PABAENGBAENG 1,SD,Negeri,300,16,2,9,14000,2649,86,5143388,119432001
387,UPT SPF SD NEGERI BALANG BARU,SD,Negeri,316,15,2,8,1300,1250,85,5141923,11943478
388,UPT SPF SD NEGERI BALANG BARU 1,SD,Negeri,347,17,4,8,2200,500,83,5144912,119429263
389,UPT SPF SD NEGERI BALANG BODDONG,SD,Negeri,188,8,5,8,1300,1740,84,5143101,11942306
390,UPT SPF SD NEGERI BAROMBONG,SD,Negeri,623,24,4,10,2500,1400,83,5154232,119434429
391,UPT SPF SD NEGERI BAYANG,SD,Negeri,383,13,3,8,1300,6234,85,5153054,119425047
392,UPT SPF SD NEGERI KACCIA,SD,Negeri,383,21,3,7,900,1575,83,515356,119425692
393,UPT SPF SD NEGERI KUMALA,SD,Negeri,303,18,6,12,4400,1200,84,514124,119434248
394,UPT SPF SD NEGERI MACCINI SOMBALA,SD,Negeri,363,16,6,7,2200,1134,82,5151118,119423015
395,UPT SPF SD NEGERI MANNURUKI,SD,Negeri,343,17,4,10,2300,390,81,5142276,119432168
396,UPT SPF SD NEGERI PARANG TAMBUNG 1,SD,Negeri,375,15,5,7,2200,1215,81,5155117,119427306
397,UPT SPF SD NEGERI PARANGTAMBUNG 2,SD,Negeri,346,17,2,8,5500,1215,80,514633,119430284
398,UPT SPF SD NEGERI SUMANNA,SD,Negeri,296,13,2,6,900,1517,84,5152104,119442562
399,UPT SPF SD NEGERI TIMBUSENG II,SD,Negeri,242,12,1,11,2200,2850,84,5143439,1194261
400,SD BERBANTUAN BUNGAYA,SD,Swasta,143,3,1,6,1300,750,85,5140175,119426492
401,SD BERBANTUAN KARYA II,SD,Swasta,90,4,1,8,1500,1450,83,5156008,119428486
402,SD DIAN HARAPAN,SD,Swasta,436,35,4,23,275200,27270,92,5137722,119442011
403,SD INKLUSI PERMATAKU,SD,Swasta,0,2,3,0,780,595,73,5157588,119441929
404,SD INKLUSI QUANTUM BRAIN,SD,Swasta,32,19,0,6,1200,60,72,5157531,119430117
405,SD IOP PRIMARY SCHOOL MAKASSAR,SD,Swasta,33,10,2,9,23000,240,83,5141533,119439383
406,SD IT COBIG,SD,Swasta,613,13,0,16,7700,210,81,5142754,119433761
407,SD IT IBNU MAS UD,SD,Swasta,88,6,0,12,660,280,80,5149673,119437927
408,SD IT NURUL KAUTSAR,SD,Swasta,265,14,2,16,22000,1210,93,5155486,119423101
409,SD IT REZKY SYAFAAT,SD,Swasta,35,5,2,4,1300,600,91,5139439,119439425
410,SD JAYA NEGARA MAKASSAR,SD,Swasta,83,6,1,8,2200,2744,77,5146903,11943683
411,SD KARTIKA IX2 ARMED MAKASSAR,SD,Swasta,107,7,1,8,690,360,81,5156045,119440398
412,SD MUHAMMDIYAH JONGAYA,SD,Swasta,85,1,1,7,980,400,82,5156021,119436191
413,SD SEKOLAH ALAM BOSOWA,SD,Swasta,43,8,2,8,1200,22800,85,5144789,119425295
414,SD STELLA GRACIA SCHOOL,SD,Swasta,424,24,5,18,444,5325,92,5148853,11944037
415,SD ULUMUL ISLAM BAKRI WAHID,SD,Swasta,100,3,0,9,2300,2700,86,514038,119439693
416,SDIT ASSUNNAH,SD,Swasta,636,22,3,26,24000,2641,85,5141648,11943902
417,SDIT KHALIFAH ISLAMIC SCHOOL OF INDONESIA,SD,Swasta,114,8,3,7,1499,324,84,5142615,119424239
418,UPT SPF SD INPRES LAELAE 1,SD,Negeri,210,10,4,7,3200,1560,84,5154137,119439902
419,UPT SPF SD NEGERI BULOGADING,SD,Negeri,99,8,5,7,1200,779,77,51389,1194054
420,UPT SPF SD NEGERI GOTONGGOTONG I,SD,Negeri,158,12,3,10,2200,990,83,51431,1194199
421,UPT SPF SD NEGERI LANTO DG PASEWANG,SD,Negeri,270,15,3,13,3267,1620,84,51517,1194185
422,UPT SPF SD NEGERI MANGKURA I,SD,Negeri,447,20,8,12,9157,5328,91,51439,1194132
423,UPT SPF SD NEGERI MANGKURA II,SD,Negeri,368,16,6,9,10080,5600,91,5144,1194135
424,UPT SPF SD NEGERI MANGKURA III,SD,Negeri,349,17,2,8,1890,750,91,5144,1194135
425,UPT SPF SD NEGERI MANGKURA IV,SD,Negeri,359,18,4,10,10000,5600,91,51444,1194132
426,UPT SPF SD NEGERI MANGKURA V,SD,Negeri,359,19,7,8,10000,5600,92,51444,1194135
427,UPT SPF SD NEGERI SUDIRMAN I,SD,Negeri,343,16,4,13,5185,1442,91,51354,1194144
428,UPT SPF SD NEGERI SUDIRMAN II,SD,Negeri,315,17,3,9,7280,5003,91,51355,1194144
429,UPT SPF SD NEGERI SUDIRMAN III,SD,Negeri,282,18,4,8,2780,3382,91,51354,1194145
430,UPT SPF SD NEGERI SUDIRMAN IV,SD,Negeri,316,17,3,9,2200,583,91,51353,1194145
431,UPT SPF SD PERCONTOHAN PAM,SD,Negeri,451,23,6,19,5291,4133,92,51506,1194177
432,SD ADVENT,SD,Swasta,121,7,2,7,5200,1600,93,51475,1194122
433,SD FRATER THAMRIN,SD,Swasta,214,15,4,10,6150,2665,93,51365,1194089
434,SD ISLAM ATHIRAH,SD,Swasta,646,52,3,35,7100,2750,93,51351,1194073
435,SD KATHOLIK ST JOSEPH RAJAWALI,SD,Swasta,332,26,5,21,1200,264,92,51457,1194113
436,SD KATOLIK BERINGIN,SD,Swasta,159,9,4,15,26480,451584,85,51426,1194208
437,SD KRISTEN 1,SD,Swasta,33,4,1,9,710,300,73,51459,1194164
438,SD KRISTEN BALA KESELAMATAN,SD,Swasta,68,8,2,9,900,504,74,51417,1194131
439,SD KRISTEN GAMALIEL,SD,Swasta,219,16,6,15,3200,1892,91,51593,1194107
440,SD MUHAMMADIYAH 5,SD,Swasta,30,6,1,7,910,426,74,5141,1194172
441,SD NUSANTARA,SD,Swasta,47,7,1,14,1007,480,91,51335,1194087
442,SD PUNDARIKA,SD,Swasta,226,16,4,15,2200,940,91,51387,1194129
443,SD SUNSHINE INTERNASIONAL EDUCATION,SD,Swasta,122,8,3,8,9630,4200,93,51437131,119411391
444,SD ZION GKKAUP MAKASSAR,SD,Swasta,365,20,2,16,8720,4202,93,51255,1194134
445,SD PELITA MANDIRI,SD,Swasta,95,8,1,9,1200,660,89,51370641,119408231
446,SDS KATOLIK HATI KUDUS RAJAWALI MAKASSAR,SD,Swasta,481,24,10,22,17590,25953,93,51454,1194124
447,SD MAKASSAR INDEPENDENT SCHOOL,SPK SD,Swasta,9,5,0,9,900,559,74,51401,1194114
448,UPT SPF SD INPRES BARRANG CADDI 2,SD,Negeri,80,6,3,4,1200,768,77,50369,1192772
449,UPT SPF SD INPRES BARRANG LOMPO,SD,Negeri,263,15,2,8,7200,3300,92,50498,1193289
450,UPT SPF SD INPRES BERTINGKAT TABARINGAN I,SD,Negeri,250,16,3,13,4900,2916,86,5114,1194195
451,UPT SPF SD INPRES CAMBAYA 1,SD,Negeri,328,13,3,8,2200,1984,86,51118,1194305
452,UPT SPF SD INPRES CAMBAYA 2,SD,Negeri,265,15,6,11,2200,1572,86,5112,1194302
453,UPT SPF SD INPRES TABARINGAN,SD,Negeri,289,15,4,6,900,484,85,51204,1194198
454,UPT SPF SD INPRES TABARINGAN I,SD,Negeri,248,14,4,6,800,172,84,51203,1194196
455,UPT SPF SD NEGERI BARRANG CADDI,SD,Negeri,175,9,4,7,2200,1200,83,50805,1193212
456,UPT SPF SD NEGERI BARRANG LOMPO,SD,Negeri,343,18,4,12,3600,2218,91,50478,1193297
457,UPT SPF SD NEGERI CAMBAYA,SD,Negeri,286,16,5,8,1200,893,85,511,1194275
458,UPT SPF SD NEGERI KODINGARENG,SD,Negeri,502,27,6,10,2200,1500,84,5149,1192649
459,UPT SPF SD NEGERI LANGKAI,SD,Negeri,131,8,2,6,2200,1575,87,50321,1190949
460,UPT SPF SD NEGERI LUMULUMU,SD,Negeri,131,9,1,7,800,280,83,49766,1192148
461,UPT SPF SD NEGERI PATTINGALLOANG 1,SD,Negeri,320,16,3,6,1200,949,83,51139,1194221
462,UPT SPF SD NEGERI TABARINGAN 5,SD,Negeri,178,9,4,7,3890,2600,84,51145,1194201
463,UPT SPF SD NEGERI UJUNG TANAH 2,SD,Negeri,378,16,6,7,2200,1600,83,51128,1194237
464,UPT SPF SD NEGERI UJUNG TANAH I,SD,Negeri,315,15,3,9,910,400,81,51127,1194236
465,SD HANG TUAH MAKASSAR,SD,Swasta,279,16,5,12,9320,3360,92,51154,1194185
466,SD MUHAMMADIYAH 7,SD,Swasta,192,5,1,10,810,300,84,51117,1194269
467,UPT SPF SD INPRES BERTINGKAT BUTUNG,SD,Negeri,60,8,2,6,800,270,82,51239,1194121
468,UPT SPF SD NEGERI BUTUNG 1,SD,Negeri,128,10,3,7,3600,2040,85,51243,1194124
469,UPT SPF SD NEGERI BUTUNG 2,SD,Negeri,97,9,2,6,1200,550,83,5124,1194125
470,UPT SPF SD NEGERI MELAYU,SD,Negeri,257,15,3,10,2200,1056,77,51231,1194165
471,UPT SPF SD NEGERI MELAYU MUHAMMADIYAH,SD,Negeri,433,26,5,13,2200,1660,85,51234,119415
472,UPT SPF SD NEGERI SANGIR,SD,Negeri,372,18,3,13,4300,582,91,51259,119412
473,UPT SPF SD NEGERI TIMOR,SD,Negeri,77,10,3,10,2200,531,84,51269,1194113
474,SD AISYIYAH MUHAMMADIYAH 3,SD,Swasta,321,17,1,7,2200,1020,91,51232,1194156
475,SD MENARA SANTO MARTINUS,SD,Swasta,281,14,3,14,2300,1014,90,51296,1194116
476,SD INPRES BONTO SAPIRI,SD,Negeri,99,11,3,7,3500,3878,95,5517544,119959837
477,SD INPRES JAGONG,SD,Negeri,146,12,4,7,1300,752,91,5525853,119952623
478,SD INPRES KAYULOE,SD,Negeri,131,14,7,7,5500,948,96,551865,119960532
479,SD INPRES LASEPANG,SD,Negeri,207,18,2,13,3500,1321,99,5520352,119950361
480,SD INPRES ONTO,SD,Negeri,111,14,5,16,3500,1827,74,5523774,119955034
481,SD INPRES TAPPANJENG,SD,Negeri,451,25,7,14,2200,4813,99,5511963,119949092
482,SD INPRES TELADAN MERPATI,SD,Negeri,329,22,3,14,3500,4041,89,5510986,119957682
483,SD NEGERI 1 LEMBANG CINA,SD,Negeri,91,11,4,8,1300,2469,80,5515421,119948119
484,SD NEGERI 10 PASORONGI,SD,Negeri,99,17,3,7,900,3776,81,5515327,11994432
485,SD NEGERI 14 ALLU,SD,Negeri,139,10,5,8,900,3993,72,5518326,119946273
486,SD NEGERI 15 SAMATA,SD,Negeri,76,11,2,7,1300,4753,94,5514568,119953815
487,SD NEGERI 17 UJUNG LABBU,SD,Negeri,120,14,2,7,900,4206,82,5523799,119954496
488,SD NEGERI 2 LEMBANG CINA,SD,Negeri,227,21,5,13,3500,1811,94,551894,119955315
489,SD NEGERI 3 LEMBANG CINA,SD,Negeri,124,10,2,10,3500,3994,75,5524485,119958739
490,SD NEGERI 4 LEMBANG CINA,SD,Negeri,93,11,3,7,1300,2087,79,5521609,119947899
491,SD NEGERI 5 LEMBANG CINA,SD,Negeri,503,25,5,20,2200,3621,87,551313,11994905
492,SD NEGERI 54 BINAMUNGAN,SD,Negeri,110,14,3,6,900,2249,85,550835,119953148
493,SD NEGERI 6 TAPPANJENG,SD,Negeri,75,8,4,7,5500,2297,76,5512809,119956306
494,SD NEGERI 7 LETTA,SD,Negeri,390,19,5,14,900,3291,77,5512708,11995169
495,SD NEGERI 70 BARAKASSI,SD,Negeri,72,18,4,12,5500,1739,96,5507553,119960393
496,SD NEGERI 71 KASSI  KASSI,SD,Negeri,110,19,7,11,1300,4620,75,5525458,119948028
497,SD NEGERI 76 BATU PAKKE,SD,Negeri,37,12,2,7,1300,2304,96,5515884,119961236
498,SD NEGERI 8 KALIMBAUNG,SD,Negeri,235,20,4,11,1300,4825,84,5523129,119946586
499,SD NEGERI 9 LEMBANG,SD,Negeri,224,22,3,11,1300,2999,76,5508086,119945561
500,SDS MUHAMMADIYAH,SD,Swasta,118,9,2,7,900,976,97,5510047,119963872
501,SD INPRES BATEBALLA,SD,Negeri,134,12,3,7,3500,3290,81,5521249,119962203
502,SD INPRES BATUKARAENG,SD,Negeri,120,12,4,7,2200,1717,89,5517576,119947497
503,SD INPRES PAJUKUKANG,SD,Negeri,201,15,2,11,3500,3148,95,5516645,119963566
504,SD INPRES PALINGANG,SD,Negeri,175,16,5,9,2200,3721,73,5524613,119944454
505,SD INPRES PANOANG,SD,Negeri,280,17,3,15,2200,1709,84,5507373,119952927
506,SD INPRES PAPANLOE,SD,Negeri,143,13,3,9,5500,519,76,5519572,119947936
507,SD INPRES PERUMPUTAN,SD,Negeri,107,12,2,8,900,4666,98,5515198,119963458
508,SD INPRES SABBANNYANG,SD,Negeri,123,11,4,8,5500,2709,75,5511879,119962031
509,SD INPRES TANETEA,SD,Negeri,281,17,2,14,5500,4036,82,5518557,119944123
510,SD INPRES UJUNG KATINTING,SD,Negeri,199,14,3,10,3500,2875,86,5523268,119963669
511,SD NEGERI 40 LUMPANGANG,SD,Negeri,250,21,2,13,3500,3405,75,5507607,11995222
512,SD NEGERI 41 RAPPOA,SD,Negeri,124,14,3,9,5500,1378,98,5509821,119954385
513,SD NEGERI 42 BATEBALLA,SD,Negeri,121,11,3,7,1300,2639,97,5524166,119950672
